Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
226696955,2020.09.23 02:15:11,sell,0.01,usdjpy-e,104.981,105.131,104.781,2020.09.23 03:30:56,105.131,0,0,0,-1.43
226715306,2020.09.23 22:45:45,buy,0.1,euraud-e,1.64833,1.64633,1.65033,2020.09.24 02:17:05,1.64946,0,0,0,7.95
226782667,2020.09.25 02:33:11,sell,0.1,euraud-e,1.6546,1.6571,1.6536,2020.09.25 04:25:43,1.65358,0,0,0,7.16
226800314,2020.09.25 22:00:47,sell,0.2,euraud-e,1.65438,1.65688,1.65338,2020.09.25 22:54:27,1.65332,0,0,0,14.84
226827533,2020.09.28 01:46:22,sell,0.2,euraud-e,1.65232,1.65482,1.65082,2020.09.28 03:13:17,1.65078,0,0,0,21.59
226844225,2020.09.28 22:15:30,sell,10,euraud-e,1.65043,1.65343,1.64893,2020.09.29 01:30:21,1.64892,0,0,0,1 063.10
226907760,2020.09.30 00:12:43,buy,0.5,audjpy-e,75.399,75.099,75.549,2020.09.30 03:02:32,75.549,0,0,0,70.6
226907761,2020.09.30 00:14:18,sell,0.5,euraud-e,1.64491,1.64941,1.64341,2020.09.30 02:59:47,1.64336,0,0,0,55.1
226952579,2020.10.01 02:40:45,sell,1,gbpchf-e,1.18956,1.19256,1.18806,2020.10.01 10:41:00,1.18805,0,0,0,163.23
226991056,2020.10.02 00:44:50,buy,2,euraud-e,1.63488,1.63088,1.63638,2020.10.02 03:11:13,1.6364,0,0,0,216.98
227006345,2020.10.02 22:41:17,buy,5,euraud-e,1.63588,1.63238,1.63738,2020.10.05 01:00:00,1.63228,0,0,0,-1 297.47
227031532,2020.10.05 01:05:26,sell,5,audjpy-e,75.584,75.934,75.484,2020.10.05 12:25:52,75.935,0,0,0,-1 669.34
